Time,Open,High,Low,Latest,Volume
1987-07-28T05:00:00+0000,17.8,17.8,17.8,17.8,0
1987-07-29T05:00:00+0000,17.45,17.45,17.45,17.45,0
1987-07-30T05:00:00+0000,17.45,17.45,17.45,17.45,0
1987-07-31T05:00:00+0000,17.5,17.52,17.5,17.52,0
1987-08-03T05:00:00+0000,17.62,17.62,17.62,17.62,0
1987-08-04T05:00:00+0000,17.27,17.27,17.27,17.27,0
1987-08-05T05:00:00+0000,17.22,17.25,17.2,17.25,0
1987-08-06T05:00:00+0000,17.17,17.17,17.06,17.06,0
1987-08-07T05:00:00+0000,17.05,17.15,16.71,16.74,0
1987-08-10T05:00:00+0000,16.7,16.7,16.7,16.7,0
1987-08-11T05:00:00+0000,16.85,16.85,16.85,16.85,0
1987-08-12T05:00:00+0000,16.67,16.67,16.67,16.67,0
1987-08-13T05:00:00+0000,16.8,16.8,16.8,16.8,0
1987-08-14T05:00:00+0000,16.75,16.8,16.75,16.8,0
1987-08-17T05:00:00+0000,17.05,17.05,17.0,17.0,0
1987-08-18T05:00:00+0000,17.0,17.0,17.0,17.0,0
1987-08-19T05:00:00+0000,17.22,17.22,17.22,17.22,0
1987-08-20T05:00:00+0000,17.07,17.07,17.07,17.07,0
1987-08-21T05:00:00+0000,17.05,17.05,17.05,17.05,0
1987-08-24T05:00:00+0000,17.1,17.15,16.9,17.15,0
1987-08-25T05:00:00+0000,17.42,17.42,17.42,17.42,0
1987-08-26T05:00:00+0000,17.6,17.65,17.35,17.35,0
1987-08-27T05:00:00+0000,17.35,17.35,17.35,17.35,0
1987-08-28T05:00:00+0000,17.24,17.24,17.19,17.19,0
1987-08-31T05:00:00+0000,17.17,17.17,17.17,17.17,0
1987-09-01T05:00:00+0000,17.17,17.17,17.12,17.17,0
1987-09-02T05:00:00+0000,17.25,17.25,17.11,17.11,0
1987-09-03T05:00:00+0000,17.2,17.25,17.14,17.15,0
1987-09-04T05:00:00+0000,17.15,17.15,17.15,17.15,0
1987-09-08T05:00:00+0000,17.08,17.08,17.08,17.08,0
1987-09-09T05:00:00+0000,17.1,17.3,17.1,17.3,0
1987-09-10T05:00:00+0000,17.29,17.45,17.2,17.2,0
1987-09-11T05:00:00+0000,17.18,17.18,17.1,17.1,0
1987-09-14T05:00:00+0000,17.2,17.2,17.16,17.16,0
1987-09-15T05:00:00+0000,17.3,17.3,17.25,17.3,0
1987-09-16T05:00:00+0000,17.27,17.27,17.27,17.27,0
1987-09-17T05:00:00+0000,17.51,17.51,17.51,17.51,0
1987-09-18T05:00:00+0000,17.25,17.25,17.25,17.25,0
1987-09-21T05:00:00+0000,17.4,17.4,17.25,17.4,0
1987-09-22T05:00:00+0000,17.61,17.65,17.61,17.63,0
1987-09-23T05:00:00+0000,17.7,17.7,17.6,17.6,0
1987-09-24T05:00:00+0000,17.77,17.77,17.77,17.77,0
1987-09-25T05:00:00+0000,17.9,17.9,17.9,17.9,0
1987-09-28T05:00:00+0000,18.25,18.25,18.17,18.17,0
1987-09-29T05:00:00+0000,18.15,18.25,18.05,18.17,0
1987-09-30T05:00:00+0000,18.0,18.0,18.0,18.0,0
1987-10-01T05:00:00+0000,18.15,18.2,18.05,18.2,0
1987-10-02T05:00:00+0000,18.1,18.55,18.1,18.32,0
1987-10-05T05:00:00+0000,18.25,18.25,18.25,18.25,0
1987-10-06T05:00:00+0000,18.2,18.2,18.1,18.17,0
1987-10-07T05:00:00+0000,18.1,18.55,18.1,18.55,0
1987-10-08T05:00:00+0000,18.5,18.65,18.5,18.57,0
1987-10-09T05:00:00+0000,18.75,18.75,18.45,18.52,0
1987-10-12T05:00:00+0000,18.54,18.54,18.54,18.54,0
