Time,Open,High,Low,Close,Volume
2022-03-28T13:00:00+0000,154.725,155.0,154.725,154.75,13
2022-03-28T14:00:00+0000,154.725,154.85,154.725,154.8,6
2022-03-28T15:00:00+0000,154.675,154.675,154.55,154.55,6
2022-03-28T16:00:00+0000,154.525,154.675,154.5,154.5,29
2022-03-28T17:00:00+0000,154.475,154.7,154.225,154.7,36
2022-03-28T18:00:00+0000,154.55,154.55,154.55,154.55,1
2022-03-29T13:00:00+0000,154.75,155.25,154.55,155.15,56
2022-03-29T14:00:00+0000,155.35,155.4,154.85,154.875,85
2022-03-29T15:00:00+0000,155.1,155.275,154.85,155.275,62
2022-03-29T16:00:00+0000,155.3,155.3,155.075,155.075,31
2022-03-29T17:00:00+0000,155.125,155.325,155.125,155.275,12
2022-03-30T13:00:00+0000,155.225,155.5,155.225,155.5,12
2022-03-30T14:00:00+0000,155.5,155.6,155.275,155.375,12
2022-03-30T15:00:00+0000,155.2,155.2,155.025,155.025,30
2022-03-30T16:00:00+0000,154.925,154.975,154.925,154.925,29
2022-03-30T17:00:00+0000,154.85,154.85,154.7,154.7,31
2022-03-30T18:00:00+0000,154.625,154.625,154.625,154.625,1
2022-03-31T13:00:00+0000,154.775,154.925,154.65,154.65,28
2022-03-31T14:00:00+0000,154.825,154.825,154.375,154.525,21
2022-03-31T15:00:00+0000,154.575,154.725,154.525,154.7,14
2022-03-31T16:00:00+0000,154.675,155.375,154.675,155.2,23
2022-03-31T17:00:00+0000,155.0,155.15,154.7,154.7,19
2022-03-31T18:00:00+0000,154.65,154.925,154.65,154.675,17
2022-04-01T13:00:00+0000,155.275,155.35,155.1,155.175,33
2022-04-01T14:00:00+0000,154.925,155.0,154.775,155.0,10
2022-04-01T15:00:00+0000,155.075,155.225,154.575,154.575,6
2022-04-01T16:00:00+0000,154.6,154.8,154.525,154.8,15
2022-04-01T17:00:00+0000,154.625,154.8,154.475,154.475,25
2022-04-04T13:00:00+0000,154.75,155.075,154.75,155.0,12
2022-04-04T14:00:00+0000,154.925,155.075,154.85,155.025,103
2022-04-04T15:00:00+0000,154.85,155.25,154.85,155.075,52
2022-04-04T16:00:00+0000,154.875,154.875,154.15,154.275,126
